date,port_or_benchmark,fuel_type,price,currency,unit,region,source
2019-04-09,Kamarajar Port (Ennore),HFHSD / LSHF HSD,673.009344,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Paradip,Marine Fuel 0.5% / MFO 0.5%,460.489071,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,451.754426,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Visakhapatnam,HFHSD / LSHF HSD,674.142842,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,474.573443,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Paradip,HFHSD / LSHF HSD,673.545792,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,678.712077,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Kamarajar Port (Ennore),HFHSD / LSHF HSD,672.107049,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Haldia,Marine Fuel 0.5% / MFO 0.5%,454.711366,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,474.573443,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Haldia,HFHSD / LSHF HSD,683.191421,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Chennai,Marine Fuel 0.5% / MFO 0.5%,474.573443,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-10,Chennai,HFHSD / LSHF HSD,672.107049,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,451.262869,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Visakhapatnam,HFHSD / LSHF HSD,673.244126,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,474.017787,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,677.801284,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Paradip,Marine Fuel 0.5% / MFO 0.5%,459.972978,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Paradip,HFHSD / LSHF HSD,672.644372,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,474.017787,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Kamarajar Port (Ennore),HFHSD / LSHF HSD,671.204754,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Haldia,Marine Fuel 0.5% / MFO 0.5%,454.211503,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Haldia,HFHSD / LSHF HSD,682.294563,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Chennai,Marine Fuel 0.5% / MFO 0.5%,474.017787,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-11,Chennai,HFHSD / LSHF HSD,671.204754,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Visakhapatnam,HFHSD / LSHF HSD,672.34541,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,473.462131,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,676.890492,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Paradip,Marine Fuel 0.5% / MFO 0.5%,459.456885,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Paradip,HFHSD / LSHF HSD,671.742951,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,450.771311,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Kamarajar Port (Ennore),HFHSD / LSHF HSD,670.302459,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Haldia,Marine Fuel 0.5% / MFO 0.5%,453.711639,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Haldia,HFHSD / LSHF HSD,681.397705,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Chennai,Marine Fuel 0.5% / MFO 0.5%,473.462131,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Chennai,HFHSD / LSHF HSD,670.302459,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-12,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,473.462131,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Visakhapatnam,HFHSD / LSHF HSD,671.446694,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,472.906475,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,675.979699,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Paradip,Marine Fuel 0.5% / MFO 0.5%,458.940792,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Paradip,HFHSD / LSHF HSD,670.84153,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,450.279754,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Kamarajar Port (Ennore),HFHSD / LSHF HSD,669.400164,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Haldia,Marine Fuel 0.5% / MFO 0.5%,453.211776,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-13,Haldia,HFHSD / LSHF HSD,680.500847,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
